[rosmaster.main][INFO] 2024-03-11 19:35:00,304: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-11 19:35:00,304: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-11 19:35:00,305: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-03-11 19:35:00,305: Started XML-RPC server [http://clover-dev.local:11311/]
[xmlrpc][INFO] 2024-03-11 19:35:00,305: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-11 19:35:00,306: Master initialized: port[11311], uri[http://clover-dev.local:11311/]
[rosmaster.master][INFO] 2024-03-11 19:35:00,319: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-11 19:35:00,320: +PARAM [/roslaunch/uris/host_clover_dev_local__34327] by /roslaunch
[rosmaster.master][INFO] 2024-03-11 19:35:00,359: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-11 19:35:00,359: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-11 19:35:00,672: +SERVICE [/rosout/get_loggers] /rosout http://clover-dev.local:45077/
[rosmaster.master][INFO] 2024-03-11 19:35:00,672: +SERVICE [/rosout/set_logger_level] /rosout http://clover-dev.local:45077/
[rosmaster.master][INFO] 2024-03-11 19:35:00,673: +PUB [/rosout_agg] /rosout http://clover-dev.local:45077/
[rosmaster.master][INFO] 2024-03-11 19:35:00,678: +SUB [/rosout] /rosout http://clover-dev.local:45077/
