[rosmaster.main][INFO] 2023-04-12 03:19:36,639: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-04-12 03:19:36,639: Starting ROS Master Node
[xmlrpc][INFO] 2023-04-12 03:19:36,640: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-04-12 03:19:36,640: Started XML-RPC server [http://clover-dev:11311/]
[xmlrpc][INFO] 2023-04-12 03:19:36,640: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-04-12 03:19:36,640: Master initialized: port[11311], uri[http://clover-dev:11311/]
[rosmaster.master][INFO] 2023-04-12 03:19:36,734: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,735: +PARAM [/roslaunch/uris/host_clover_dev__43883] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,852: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,852: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,852: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,853: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,853: +PARAM [/drone_description] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,853: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,853: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,853: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,853: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,853: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,853: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,853: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,853: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/time/publish_sim_time] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/global_position/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/global_position/gps_uere] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/global_position/tf/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,854: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,855: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,855: +PARAM [/mavros/imu/angular_velocity_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,855: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,855: +PARAM [/mavros/imu/magnetic_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,855: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,855: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,855: +PARAM [/mavros/local_position/tf/send_fcu] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,855: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,855: +PARAM [/mavros/setpoint_attitude/use_quaternion] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,855: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,856: +PARAM [/mavros/setpoint_attitude/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,856: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,856: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,856: +PARAM [/mavros/setpoint_raw/thrust_scaling] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,856: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,856: +PARAM [/mavros/setpoint_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,858: +SERVICE [/rosout/get_loggers] /rosout http://clover-dev:44107/
[rosmaster.master][INFO] 2023-04-12 03:19:36,858: +SERVICE [/rosout/set_logger_level] /rosout http://clover-dev:44107/
[rosmaster.master][INFO] 2023-04-12 03:19:36,858: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,860: +PARAM [/mavros/setpoint_position/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,860: +PARAM [/mavros/setpoint_position/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,860: +PARAM [/mavros/setpoint_velocity/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,860: +PARAM [/mavros/mission/pull_after_gcs] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,860: +PARAM [/mavros/distance_sensor/rangefinder/id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,861: +PARAM [/mavros/distance_sensor/rangefinder/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,861: +PARAM [/mavros/distance_sensor/rangefinder/orientation] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,861: +PARAM [/mavros/distance_sensor/rangefinder/field_of_view] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,861: +PARAM [/mavros/distance_sensor/rangefinder_sub/subscriber] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,861: +PARAM [/mavros/distance_sensor/rangefinder_sub/id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,861: +PARAM [/mavros/distance_sensor/rangefinder_sub/orientation] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,861: +PARAM [/mavros/distance_sensor/rangefinder_sub/covariance] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,862: +PARAM [/mavros/fake_gps/use_mocap] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,862: +PARAM [/mavros/fake_gps/mocap_transform] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,862: +PARAM [/mavros/fake_gps/use_vision] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,862: +PARAM [/mavros/fake_gps/geo_origin/lat] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,863: +SUB [/clock] /rosout http://clover-dev:44107/
[rosmaster.master][INFO] 2023-04-12 03:19:36,864: +PUB [/rosout_agg] /rosout http://clover-dev:44107/
[rosmaster.master][INFO] 2023-04-12 03:19:36,863: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,865: +PARAM [/mavros/fake_gps/geo_origin/alt] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,865: +PARAM [/mavros/fake_gps/eph] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,866: +PARAM [/mavros/fake_gps/epv] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,866: +PARAM [/mavros/fake_gps/satellites_visible] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,866: +PARAM [/mavros/fake_gps/fix_type] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,866: +PARAM [/mavros/fake_gps/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,866: +PARAM [/mavros/fake_gps/tf/send] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,866: +PARAM [/mavros/fake_gps/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,866: +PARAM [/mavros/fake_gps/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,867: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,867: +PARAM [/mavros/fake_gps/gps_rate] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,867: +PARAM [/mavros/mocap/use_tf] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,867: +PARAM [/mavros/mocap/use_pose] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,867: +PARAM [/mavros/odometry/in/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,867: +PARAM [/mavros/odometry/in/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,867: +PARAM [/mavros/odometry/in/frame_tf/local_frame] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,867: +PARAM [/mavros/odometry/in/frame_tf/body_frame_orientation] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,867: +PARAM [/mavros/odometry/out/frame_tf/local_frame] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,867: +PARAM [/mavros/odometry/out/frame_tf/body_frame_orientation] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/px4flow/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/px4flow/ranger_min_range] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/px4flow/ranger_max_range] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/vision_pose/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/vision_speed/listen_twist] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/vision_speed/twist_cov] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/vibration/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/fcu_url] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,868: +PARAM [/mavros/target_system_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,869: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,869: +PARAM [/mavros/gcs_quiet_mode] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,869: +PARAM [/rangefinder/range/subscriber] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,869: +PARAM [/rangefinder/range/id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,869: +PARAM [/rangefinder/range/orientation] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,869: +PARAM [/rangefinder/range/covariance] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,869: +PARAM [/visualization/fixed_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,869: +PARAM [/visualization/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,869: +PARAM [/visualization/marker_scale] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,870: +PARAM [/visualization/max_track_size] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,870: +PARAM [/visualization/num_rotors] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,870: +PARAM [/web_video_server/default_stream_type] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,870: +PARAM [/web_video_server/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,870: +PARAM [/vpe_publisher/force_init] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,870: +PARAM [/vpe_publisher/offset_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,870: +PARAM [/optical_flow/calc_flow_gyro] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,870: +PARAM [/optical_flow/roi_rad] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,871: +PARAM [/optical_flow/disable_on_vpe] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,871: +PARAM [/simple_offboard/reference_frames/main_camera_optical] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,871: +PARAM [/simple_offboard/terrain_frame_mode] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,871: +SUB [/rosout] /rosout http://clover-dev:44107/
[rosmaster.master][INFO] 2023-04-12 03:19:36,872: +PARAM [/main_camera_nodelet_manager/num_worker_threads] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,872: +PARAM [/main_camera/main_camera_markers/scale] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,872: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:36,872: +PARAM [/rosbridge_websocket/port] by /roslaunch
