[rosmaster.main][INFO] 2023-04-12 03:19:47,278: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-04-12 03:19:47,278: Starting ROS Master Node
[xmlrpc][INFO] 2023-04-12 03:19:47,279: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-04-12 03:19:47,279: Started XML-RPC server [http://clover-dev:11311/]
[xmlrpc][INFO] 2023-04-12 03:19:47,280: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-04-12 03:19:47,280: Master initialized: port[11311], uri[http://clover-dev:11311/]
[rosmaster.master][INFO] 2023-04-12 03:19:47,310: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,311: +PARAM [/roslaunch/uris/host_clover_dev__36643] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,407: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,407: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,407: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,407: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,407: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,407: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,408: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,408: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,408: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,408: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,408: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,408: +PARAM [/mavros/time/publish_sim_time] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,408: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,408: +PARAM [/mavros/global_position/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,408: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,408: +PARAM [/mavros/global_position/gps_uere] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/global_position/tf/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/imu/angular_velocity_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/imu/magnetic_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,409: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,410: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,410: +PARAM [/mavros/local_position/tf/send_fcu] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,410: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,410: +PARAM [/mavros/setpoint_attitude/use_quaternion] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,410: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,410: +PARAM [/mavros/setpoint_attitude/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,410: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,410: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,410: +PARAM [/mavros/setpoint_raw/thrust_scaling] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,410: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,411: +PARAM [/mavros/setpoint_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-12 03:19:47,411: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
