[rostest][INFO] 2023-04-12 03:06:57,838: rostest starting with options {'text_mode': False, 'pkg_dir': '/home/clover/catkin_ws/src/clover/aruco_pose', 'package': 'aruco_pose', 'results_filename': 'test_duplicate.xml', 'results_base_dir': '/home/clover/catkin_ws/build/test_results', 'reuse_master': None, 'clear': None}, args ['/home/clover/catkin_ws/src/clover/aruco_pose/test/duplicate.test']
[roslaunch][INFO] 2023-04-12 03:06:57,838: loading roscore config file /opt/ros/noetic/etc/ros/roscore.xml
[roslaunch][INFO] 2023-04-12 03:06:58,039: Added core node of type [rosout/rosout] in namespace [/]
[roslaunch.config][INFO] 2023-04-12 03:06:58,039: loading config file /home/clover/catkin_ws/src/clover/aruco_pose/test/duplicate.test
[roslaunch][INFO] 2023-04-12 03:06:58,093: Added node of type [image_publisher/image_publisher] in namespace [/]
[roslaunch][INFO] 2023-04-12 03:06:58,094: Added node of type [nodelet/nodelet] in namespace [/]
[roslaunch][INFO] 2023-04-12 03:06:58,094: Added node of type [nodelet/nodelet] in namespace [/]
[roslaunch][INFO] 2023-04-12 03:06:58,095: ... selected machine [] for node of type [image_publisher/image_publisher]
[roslaunch][INFO] 2023-04-12 03:06:58,095: ... selected machine [] for node of type [nodelet/nodelet]
[roslaunch][INFO] 2023-04-12 03:06:58,095: ... selected machine [] for node of type [nodelet/nodelet]
[roslaunch][INFO] 2023-04-12 03:06:58,095: ... selected machine [] for node of type [ros_pytest/ros_pytest_runner]
[rostest][INFO] 2023-04-12 03:06:58,149: setup[/home/clover/catkin_ws/src/clover/aruco_pose/test/duplicate.test] run_id[f0fb0e86-d8c5-11ed-86ec-4d218940b1cd] starting
[roslaunch.pmon][INFO] 2023-04-12 03:06:58,149: start_process_monitor: creating ProcessMonitor
[roslaunch.pmon][INFO] 2023-04-12 03:06:58,150: created process monitor <ProcessMonitor(ProcessMonitor-1, initial daemon)>
[roslaunch.pmon][INFO] 2023-04-12 03:06:58,150: start_process_monitor: ProcessMonitor started
[roslaunch.parent][INFO] 2023-04-12 03:06:58,150: starting parent XML-RPC server
[roslaunch.server][INFO] 2023-04-12 03:06:58,150: starting roslaunch XML-RPC server
[roslaunch.server][INFO] 2023-04-12 03:06:58,150: waiting for roslaunch XML-RPC server to initialize
[xmlrpc][INFO] 2023-04-12 03:06:58,150: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2023-04-12 03:06:58,151: Started XML-RPC server [http://ubuntu:35659/]
[xmlrpc][INFO] 2023-04-12 03:06:58,151: xml rpc node: starting XML-RPC server
[rostest][INFO] 2023-04-12 03:06:58,162: started roslaunch server http://ubuntu:35659/
[roslaunch.parent][INFO] 2023-04-12 03:06:58,163: ... parent XML-RPC server started
[xmlrpc][INFO] 2023-04-12 03:06:58,163: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2023-04-12 03:06:58,164: Started XML-RPC server [http://ubuntu:40311/]
